model,sample_id,dataset,image_name,processing_time,text_similarity,text_precision,text_recall,text_f1,text_predicted_length,text_ground_truth_length,detection_precision,detection_recall,detection_f1,avg_iou
spatial_google_vision,3,French,8_5eeab_default.jpg,1.219430923461914,0.43132530120481927,0.7612732095490716,0.7572559366754618,0.7592592592592592,3693,3777,0.0,0.0,0.0,0.0
spatial_google_vision,4,French,10_10fe5_default.jpg,1.0210809707641602,0.8978652690783587,0.8167539267015707,0.8020565552699229,0.8093385214007781,3878,3945,0.0,0.0,0.0,0.0
spatial_google_vision,5,French,16_e8fb7_default.jpg,0.8437938690185547,0.38642857142857145,0.9447513812154696,0.957983193277311,0.9513212795549375,4177,4223,0.0,0.0,0.0,0.0
spatial_google_vision,6,French,17_24e64_default.jpg,0.9700100421905518,0.8313717321112384,0.9613636363636363,0.9591836734693877,0.9602724177071509,4751,4850,0.0,0.0,0.0,0.0
spatial_google_vision,7,French,11_ef202_default.jpg,1.269559621810913,0.9006095944871455,0.8131578947368421,0.8089005235602095,0.8110236220472441,3724,3822,0.0,0.0,0.0,0.0
spatial_google_vision,8,French,5_1df9d_default.jpg,0.7388777732849121,0.8011422637590861,0.8268733850129198,0.8040201005025126,0.8152866242038216,3820,3884,0.0,0.0,0.0,0.0
spatial_google_vision,9,French,18_ac1da_default.jpg,0.9350464344024658,0.8091522564318853,0.9498806682577565,0.9408983451536643,0.9453681710213777,4686,4798,0.0,0.0,0.0,0.0
spatial_google_vision,10,English,0060080406.png,0.22602009773254395,0.3263157894736842,0.8478260869565217,0.823943661971831,0.8357142857142856,1141,1139,0.10552763819095477,0.3559322033898305,0.1627906976744186,0.6485233311904901
spatial_google_vision,11,English,0001477983.png,0.2804436683654785,0.17368140649973363,0.8722222222222222,0.9075144508670521,0.8895184135977338,1901,1853,0.08033240997229917,0.47540983606557374,0.13744075829383884,0.7226650947258547
spatial_google_vision,12,English,88547278_88547279.png,0.31996750831604004,0.4177270732777534,0.5838150289017341,0.8416666666666667,0.689419795221843,1452,827,0.025454545454545455,0.175,0.044444444444444446,0.67569236404936
spatial_google_vision,13,English,92094746.png,0.24262666702270508,0.10451045104510451,0.8598130841121495,0.8141592920353983,0.8363636363636363,904,914,0.08522727272727272,0.22058823529411764,0.12295081967213115,0.6094720523067289
spatial_google_vision,14,English,0001239897.png,0.20935869216918945,0.05388069275176395,0.6172839506172839,0.5617977528089888,0.588235294117647,771,788,0.07567567567567568,0.2978723404255319,0.1206896551724138,0.6109363805508271
spatial_google_vision,15,English,00836816.png,0.19377994537353516,0.7331064657267866,0.7946428571428571,0.7355371900826446,0.7639484978540771,1030,1027,0.05128205128205128,0.3448275862068966,0.08928571428571429,0.6466681945217383
spatial_google_vision,16,English,00860012_00860014.png,0.2578392028808594,0.02243713733075435,0.8187919463087249,0.7973856209150327,0.8079470198675497,1303,1282,0.09876543209876543,0.39344262295081966,0.15789473684210525,0.6670727113278594
spatial_google_vision,17,English,71108371.png,0.26725220680236816,0.24505494505494504,0.9345238095238095,0.9457831325301205,0.9401197604790419,1847,1793,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.6703494042286656
spatial_google_vision,18,English,01122115.png,0.30840206146240234,0.1534526854219949,0.75,0.6737967914438503,0.7098591549295775,1364,1373,0.048109965635738834,0.14893617021276595,0.07272727272727274,0.5750089306659604
spatial_google_vision,19,English,00836244.png,0.21387076377868652,0.09854771784232365,0.6212121212121212,0.5655172413793104,0.592057761732852,968,960,0.13716814159292035,0.34444444444444444,0.1962025316455696,0.6081961691924596
doctr,0,French,12_0bb90_default.jpg,15.910995960235596,0.3310252996005326,0.7944862155388471,0.7885572139303483,0.7915106117353309,3715,3795,,,,
doctr,1,French,14_e26ee_default.jpg,15.95584511756897,0.1151022548505506,0.9764705882352941,0.9707602339181286,0.9736070381231672,3810,3818,,,,
